Постоянная группа,Группа,Кол-во студентов,"Доля в постоянной группе, %"
ТЭЛу-2024-22,ТЭЛу-322,4,100.0
ТЭЛу-2025-21,ТЭЛу-121,5,21.7
ТЭЛу-2025-21,ТЭЛу-221,18,78.3
ТЭЛу-2025-22,ТЭЛу-122,5,20.8
ТЭЛу-2025-22,ТЭЛу-222,19,79.2
ТЭТ-2022-21,ТЭТ-521,17,100.0
УВВ-2022-11,УВВ-411,1,100.0
УВВ-2023-11,УВВ-311,2,11.8
УВВ-2023-11,УВВ-411,15,88.2
УВВ-2024-11,УВВ-311,35,100.0
УВВ-2025-11,УВВ-111,1,3.3
УВВ-2025-11,УВВ-211,29,96.7
УВП-2022-11,УВП-411,1,100.0
УВП-2022-12,УВП-412,1,100.0
УВП-2023-11,УВП-311,2,7.1
УВП-2023-11,УВП-411,26,92.9
УВП-2023-12,УВП-212,1,3.7
УВП-2023-12,УВП-412,26,96.3
УВП-2024-11,УВП-311,30,100.0
УВП-2024-12,УВП-312,32,100.0
УВП-2025-11,УВП-211,35,100.0
УВП-2025-12,УВП-212,31,100.0
УЗС-2023-11,УЗС-411,25,100.0
УЗС-2024-11,УЗС-311,25,100.0
УЗС-2025-11,УЗС-111,6,24.0
УЗС-2025-11,УЗС-211,19,76.0
УЗТ-2025-11,УЗТ-111,4,16.0
УЗТ-2025-11,УЗТ-211,21,84.0
УИБ-2022-11,УИБ-311,2,66.7
УИБ-2022-11,УИБ-411,1,33.3
УИБ-2023-11,УИБ-311,1,3.6
УИБ-2023-11,УИБ-411,27,96.4
УИБ-2024-11,УИБ-311,19,100.0
УИБ-2024-12,УИБ-212,1,6.2
УИБ-2024-12,УИБ-312,15,93.8
УИБ-2025-11,УИБ-111,2,8.0
УИБ-2025-11,УИБ-211,23,92.0
УИК-2025-11,УИК-111,2,9.5
УИК-2025-11,УИК-211,19,90.5
УИС-2022-11,УИС-411,1,100.0
УИС-2023-11,УИС-411,29,100.0
УИС-2024-11,УИС-211,2,6.5
УИС-2024-11,УИС-311,29,93.5
УИС-2025-11,УИС-211,32,100.0
УИТ-2024-11,УИТ-211,1,3.2
УИТ-2024-11,УИТ-311,30,96.8
УИТ-2025-11,УИТ-111,1,3.3
УИТ-2025-11,УИТ-211,29,96.7
УМБ-2025-11,УМБ-111,1,4.5
УМБ-2025-11,УМБ-211,21,95.5
УМБ-2025-12,УМБ-212,20,100.0
УМЛ-2021-13,УМЛ-413,1,100.0
УМЛ-2023-11,УМЛ-411,22,100.0
УМЛ-2023-12,УМЛ-412,17,100.0
УМЛ-2024-11,УМЛ-211,1,4.3
УМЛ-2024-11,УМЛ-311,22,95.7
УМЛ-2024-12,УМЛ-312,20,100.0
УМЛ-2025-11,УМЛ-211,22,100.0
УМЛв-2022-21,УМЛв-521,15,100.0
УМН-2022-11,УМН-411,2,100.0
УМН-2023-11,УМН-311,1,2.9
УМН-2023-11,УМН-411,33,97.1
УМН-2024-11,УМН-311,22,100.0
УПМ-2022-11,УПМ-411,2,100.0
УПМ-2022-12,УПМ-412,2,100.0
УПМ-2023-11,УПМ-411,23,100.0
УПМ-2023-12,УПМ-412,22,100.0
УПМ-2024-11,УПМ-311,23,100.0
УПМ-2025-11,УПМ-211,30,100.0
УТА-2023-11,УТА-411,24,100.0
УТА-2024-11,УТА-311,30,100.0
УТА-2025-11,УТА-111,1,3.6
УТА-2025-11,УТА-211,27,96.4
УТИ-2023-11,УИТ-311,1,4.8
УТИ-2023-11,УИТ-411,20,95.2
УТЛк-2023-11,УМНд-411,4,100.0
УТЛк-2024-11,УМНд-411,38,100.0
УТЛк-2025-11,УМНд-311,40,100.0
УТМ-2025-11,УТМ-211,27,100.0
УТН-2023-11,УТН-311,2,8.0
УТН-2023-11,УТН-411,23,92.0
УТН-2024-11,УТН-311,23,100.0
УТН-2024-112,УТН-312,20,100.0
УТН-2025-11,УТН-111,1,3.2
УТН-2025-11,УТН-211,30,96.8
УТОу-2023-21,УТОу-421,5,100.0
УТЦ-2022-11,УТЦ-411,2,100.0
УТЦ-2023-11,УТЦ-211,1,2.9
УТЦ-2023-11,УТЦ-411,34,97.1
УТЦ-2023-12,УТЦ-312,1,3.1
УТЦ-2023-12,УТЦ-412,31,96.9
УТЦ-2024-11,УТЦ-311,25,100.0
УТЦ-2024-12,УТЦ-312,28,100.0
УТЦ-2025-11,УТЦ-111,1,3.2
УТЦ-2025-11,УТЦ-211,30,96.8
УТЦ-2025-12,УТЦ-112,2,6.9
УТЦ-2025-12,УТЦ-212,27,93.1
УЭБ-2021-41,УЭБ-541,3,100.0
УЭБ-2022-41,УЭБ-441,1,4.3
УЭБ-2022-41,УЭБ-541,22,95.7
УЭБ-2023-41,УЭБ-441,27,100.0
УЭБ-2024-41,УЭБ-241,2,7.1
УЭБ-2024-41,УЭБ-341,26,92.9
УЭБ-2025-41,УЭБ-141,5,15.6
УЭБ-2025-41,УЭБ-241,27,84.4
УЭГ-2021-41,УЭГ-541,3,100.0
УЭГ-2022-41,УЭГ-541,19,100.0
УЭГ-2023-41,УЭГ-441,20,100.0
УЭГ-2024-41,УЭГ-341,20,100.0
УЭГ-2025-41,УЭГ-141,3,12.0
УЭГ-2025-41,УЭГ-241,22,88.0
УЭИ-2022-41,УЭИ-541,24,100.0
УЭИ-2023-41,УЭИ-441,18,100.0
УЭИ-2024-41,УЭИ-341,30,100.0
УЭИ-2025-41,УЭИ-241,28,100.0
УЭЛ-2021-41,УЭЛ-541,1,100.0
УЭЛ-2021-42,УЭЛ-542,2,100.0
УЭЛ-2022-41,УЭЛ-541,32,100.0
УЭЛ-2022-42,УЭЛ-542,31,100.0
УЭЛ-2023-41,УЭЛ-441,26,100.0
УЭЛ-2023-42,УЭЛ-442,26,100.0
УЭЛ-2023-43,УЭЛ-343,1,4.0
УЭЛ-2023-43,УЭЛ-443,24,96.0
УЭЛ-2024-41,УЭЛ-341,35,100.0
УЭЛ-2024-42,УЭЛ-342,36,100.0
УЭЛ-2025-41,УЭЛ-141,2,6.5
УЭЛ-2025-41,УЭЛ-241,29,93.5
УЭЛ-2025-42,УЭЛ-142,4,11.8
УЭЛ-2025-42,УЭЛ-242,30,88.2
УЭМ-2021-41,УЭМ-541,1,100.0
УЭМ-2021-42,УЭМ-542,3,100.0
УЭМ-2021-43,УЭМ-543,4,100.0
УЭМ-2022-41,УЭМ-541,28,100.0
УЭМ-2022-42,УЭМ-442,1,3.6
УЭМ-2022-42,УЭМ-542,27,96.4
УЭМ-2022-43,УЭМ-543,30,100.0
УЭМ-2022-44,УЭМ-444,1,3.7
УЭМ-2022-44,УЭМ-544,26,96.3
УЭМ-2023-41,УЭМ-441,26,100.0
УЭМ-2023-42,УЭМ-342,1,3.8
УЭМ-2023-42,УЭМ-442,25,96.2
УЭМ-2023-43,УЭМ-443,25,100.0
УЭМ-2023-44,УЭМ-344,2,7.4
УЭМ-2023-44,УЭМ-444,25,92.6
УЭМ-2024-41,УЭМ-341,24,100.0
УЭМ-2024-42,УЭМ-342,23,100.0
УЭМ-2024-43,УЭМ-343,26,100.0
УЭМ-2024-44,УЭМ-244,3,10.3
УЭМ-2024-44,УЭМ-344,26,89.7
УЭМ-2025-41,УЭМ-241,30,100.0
УЭМ-2025-42,УЭМ-142,2,6.5
УЭМ-2025-42,УЭМ-242,29,93.5
УЭМ-2025-43,УЭМ-143,1,3.4
УЭМ-2025-43,УЭМ-243,28,96.6
УЭМв-2021-51,УЭМв-651,14,100.0
УЭМв-2022-51,УЭМв-551,16,100.0
УЭП-2024-41-1,УЭП-341,14,100.0
УЭП-2025-41,УЭП-141,1,3.6
УЭП-2025-41,УЭП-241,27,96.4
УЭЦ-2021-41,УЭЦ-541,1,100.0
